,county,year,population,bachelor_degree_pct,high_school_graduate_or_higher_pct
424,Putnam,2020,51158,0.16,0.88
425,Putnam,2021,51141,0.16,0.89
429,Rhea,2019,22111,0.11,0.81
430,Rhea,2020,22465,0.11,0.83
431,Rhea,2021,22284,0.12,0.83
435,Roane,2019,39144,0.12,0.89
436,Roane,2020,39412,0.11,0.9
437,Roane,2021,39407,0.12,0.91
441,Robertson,2019,47850,0.14,0.87
442,Robertson,2020,48643,0.15,0.87
443,Robertson,2021,49625,0.15,0.88
447,Rutherford,2019,198337,0.22,0.92
448,Rutherford,2020,204647,0.23,0.92
449,Rutherford,2021,212334,0.23,0.92
453,Scott,2019,14961,0.06,0.8
454,Scott,2020,15097,0.05,0.79
455,Scott,2021,14874,0.06,0.8
459,Sequatchie,2019,10733,0.1,0.82
460,Sequatchie,2020,10943,0.1,0.83
461,Sequatchie,2021,11476,0.1,0.82
465,Sevier,2019,69559,0.12,0.85
466,Sevier,2020,70237,0.12,0.87
467,Sevier,2021,70283,0.12,0.87
471,Shelby,2019,612601,0.19,0.88
472,Shelby,2020,615616,0.19,0.89
473,Shelby,2021,610884,0.2,0.89
477,Smith,2019,13626,0.09,0.85
478,Smith,2020,13897,0.12,0.86
479,Smith,2021,13828,0.12,0.87
483,Stewart,2019,9613,0.1,0.87
484,Stewart,2020,9689,0.12,0.87
485,Stewart,2021,9647,0.14,0.87
489,Sullivan,2019,114478,0.15,0.87
490,Sullivan,2020,115220,0.16,0.88
491,Sullivan,2021,115505,0.17,0.88
495,Sumner,2019,125677,0.19,0.9
496,Sumner,2020,129174,0.2,0.9
497,Sumner,2021,132873,0.2,0.91
501,Tipton,2019,41092,0.11,0.88
502,Tipton,2020,41359,0.11,0.88
503,Tipton,2021,40903,0.12,0.89
507,Trousdale,2019,7196,0.09,0.84
508,Trousdale,2020,7791,0.08,0.85
509,Trousdale,2021,7960,0.06,0.86
513,Unicoi,2019,13390,0.1,0.85
514,Unicoi,2020,13506,0.11,0.86
515,Unicoi,2021,13458,0.1,0.86
519,Union,2019,13833,0.06,0.77
520,Union,2020,13937,0.06,0.78
521,Union,2021,13843,0.06,0.79
525,Van Buren,2019,4281,0.04,0.79
526,Van Buren,2020,4294,0.04,0.79
527,Van Buren,2021,4485,0.06,0.81
531,Warren,2019,27890,0.09,0.8
532,Warren,2020,28092,0.09,0.82
533,Warren,2021,27979,0.1,0.83
