Educational Attainment,Location.1,Year,First Values
Population 25 years and over,Grundy County,2018,"9,339"
Population 25 years and over,Grundy County,2019,"9,408"
Population 25 years and over,Grundy County,2020,"9,433"
Population 25 years and over,Grundy County,2021,"9,511"
Population 25 years and over,Hamblen County,2016,"43,388"
Population 25 years and over,Hamblen County,2017,"43,565"
Population 25 years and over,Hamblen County,2018,"43,649"
Population 25 years and over,Hamblen County,2019,"43,898"
Population 25 years and over,Hamblen County,2020,"44,368"
Population 25 years and over,Hamblen County,2021,"44,109"
Population 25 years and over,Hamilton County,2016,"243,329"
Population 25 years and over,Hamilton County,2017,"247,228"
Population 25 years and over,Hamilton County,2018,"250,470"
Population 25 years and over,Hamilton County,2019,"253,874"
Population 25 years and over,Hamilton County,2020,"257,207"
Population 25 years and over,Hamilton County,2021,"256,225"
Population 25 years and over,Hancock County,2016,"4,752"
Population 25 years and over,Hancock County,2017,"4,776"
Population 25 years and over,Hancock County,2018,"4,783"
Population 25 years and over,Hancock County,2019,"4,743"
Population 25 years and over,Hancock County,2020,"4,731"
Population 25 years and over,Hancock County,2021,"4,806"
Population 25 years and over,Hardeman County,2016,"18,254"
Population 25 years and over,Hardeman County,2017,"18,313"
Population 25 years and over,Hardeman County,2018,"18,176"
Population 25 years and over,Hardeman County,2019,"18,221"
Population 25 years and over,Hardeman County,2020,"18,210"
Population 25 years and over,Hardeman County,2021,"18,491"
Population 25 years and over,Hardin County,2016,"18,628"
Population 25 years and over,Hardin County,2017,"18,652"
Population 25 years and over,Hardin County,2018,"18,584"
Population 25 years and over,Hardin County,2019,"18,560"
Population 25 years and over,Hardin County,2020,"18,569"
Population 25 years and over,Hardin County,2021,"19,208"
Population 25 years and over,Hawkins County,2016,"40,416"
Population 25 years and over,Hawkins County,2017,"40,470"
Population 25 years and over,Hawkins County,2018,"40,657"
Population 25 years and over,Hawkins County,2019,"40,950"
Population 25 years and over,Hawkins County,2020,"41,215"
Population 25 years and over,Hawkins County,2021,"41,361"
Population 25 years and over,Haywood County,2016,"12,534"
Population 25 years and over,Haywood County,2017,"12,427"
Population 25 years and over,Haywood County,2018,"12,312"
Population 25 years and over,Haywood County,2019,"12,196"
Population 25 years and over,Haywood County,2020,"12,121"
Population 25 years and over,Haywood County,2021,"12,485"
Population 25 years and over,Henderson County,2016,"19,242"
Population 25 years and over,Henderson County,2017,"19,337"
Population 25 years and over,Henderson County,2018,"19,334"
Population 25 years and over,Henderson County,2019,"19,449"
Population 25 years and over,Henderson County,2020,"19,508"
Population 25 years and over,Henderson County,2021,"19,271"
Population 25 years and over,Henry County,2016,"23,226"
Population 25 years and over,Henry County,2017,"23,243"
Population 25 years and over,Henry County,2018,"23,346"
Population 25 years and over,Henry County,2019,"23,380"
Population 25 years and over,Henry County,2020,"23,327"
Population 25 years and over,Henry County,2021,"23,444"
Population 25 years and over,Hickman County,2016,"16,829"
Population 25 years and over,Hickman County,2017,"17,137"
Population 25 years and over,Hickman County,2018,"17,309"
