district_number,district_name,school_year,school_name,school_year,students_in_school_suspension,students_suspended,students_expelled,students_placed_in_alternative_school,students_committed_zero_tolerance,students_total,percent_iss,percent_suspended,percent_expelled,percent_placed_in_alternative_school,percent_committed_zero_tolerance
792,Shelby County,2020,Scenic Hills Elementary,2020,4,10,0,1,0,283,1.4,3.5,0,0.4,0
792,Shelby County,2020,Sea Isle Elementary,2020,4,5,0,0,0,468,0.9,1.1,0,0,0
792,Shelby County,2020,Shady Grove Elementary,2020,0,0,0,0,0,423,0,0,0,0,0
792,Shelby County,2020,Sharpe Elementary,2020,0,5,2,0,0,329,0,1.5,0.6,0,0
792,Shelby County,2020,Sheffield Elementary,2020,1,20,0,3,1,565,0.2,3.5,0,0.5,0.2
792,Shelby County,2020,Sheffield High,2020,40,93,6,5,1,735,5.4,12.7,0.8,0.7,0.1
792,Shelby County,2020,Sherwood Elementary,2020,1,22,0,0,0,629,0.2,3.5,0,0,0
792,Shelby County,2020,Sherwood Middle,2020,119,148,6,13,3,955,12.5,15.5,0.6,1.4,0.3
792,Shelby County,2020,Shrine School,2020,0,0,0,0,0,114,0,0,0,0,0
792,Shelby County,2020,Shelby Oaks Elementary,2020,0,13,1,0,0,898,0,1.4,0.1,0,0
792,Shelby County,2020,Snowden Elementary/Middle,2020,59,57,3,8,4,1324,4.5,4.3,0.2,0.6,0.3
792,Shelby County,2020,Oak Forest Elementary,2020,8,16,0,0,0,434,1.8,3.7,0,0,0
792,Shelby County,2020,South Park Elementary,2020,4,23,2,1,1,584,0.7,3.9,0.3,0.2,0.2
792,Shelby County,2020,Exceptional Children Special Placements,2020,0,0,0,0,0,391,0,0,0,0,0
792,Shelby County,2020,Springdale Elementary,2020,11,25,0,1,0,301,3.7,8.3,0,0.3,0
792,Shelby County,2020,Treadwell Elementary,2020,31,29,0,7,1,818,3.8,3.5,0,0.9,0.1
792,Shelby County,2020,Riverwood Elementary School,2020,7,9,0,2,0,973,0.7,0.9,0,0.2,0
792,Shelby County,2020,Treadwell Middle School,2020,68,77,5,4,5,680,10,11.3,0.7,0.6,0.7
792,Shelby County,2020,Trezevant High,2020,10,119,12,12,8,593,1.7,20.1,2,2,1.3
792,Shelby County,2020,University Middle,2020,2,1,0,0,0,76,2.6,1.3,0,0,0
792,Shelby County,2020,Vollentine Elementary,2020,0,7,1,0,0,403,0,1.7,0.2,0,0
792,Shelby County,2020,A. Maceo Walker Middle,2020,63,300,2,8,3,1004,6.3,29.9,0.2,0.8,0.3
792,Shelby County,2020,Wells Station Elementary,2020,0,4,1,0,5,796,0,0.5,0.1,0,0.6
792,Shelby County,2020,Westside Elementary,2020,0,13,0,0,1,409,0,3.2,0,0,0.2
792,Shelby County,2020,Westwood High,2020,17,72,4,10,3,447,3.8,16.1,0.9,2.2,0.7
792,Shelby County,2020,White Station Elementary,2020,0,6,0,0,0,696,0,0.9,0,0,0
792,Shelby County,2020,White Station High,2020,54,87,4,13,8,2115,2.6,4.1,0.2,0.6,0.4
792,Shelby County,2020,White Station Middle,2020,33,28,1,4,1,1328,2.5,2.1,0.1,0.3,0.1
792,Shelby County,2020,Whitehaven Elementary,2020,3,27,0,0,3,449,0.7,6,0,0,0.7
792,Shelby County,2020,Whitehaven High,2020,34,338,17,28,16,1695,2,19.9,1,1.7,0.9
792,Shelby County,2020,Willow Oaks Elementary,2020,7,11,0,1,0,742,0.9,1.5,0,0.1,0
792,Shelby County,2020,Winchester Elementary,2020,63,61,1,3,1,735,8.6,8.3,0.1,0.4,0.1
792,Shelby County,2020,Winridge Elementary,2020,3,11,0,0,7,586,0.5,1.9,0,0,1.2
792,Shelby County,2020,Wooddale High,2020,105,127,17,22,2,819,12.8,15.5,2.1,2.7,0.2
792,Shelby County,2020,Northwest Prep Academy,2020,10,14,2,4,3,207,4.8,6.8,1,1.9,1.4
792,Shelby County,2020,Carver College and Career Academy,2020,104,25,0,7,5,1693,6.1,1.5,0,0.4,0.3
792,Shelby County,2020,Memphis Virtual School,2020,0,0,0,0,0,164,0,0,0,0,0
792,Shelby County,2020,Grandview Heights Middle School,2020,41,117,11,21,8,543,7.6,21.5,2,3.9,1.5
792,Shelby County,2020,Maxine Smith STEAM Academy,2020,12,9,0,0,0,375,3.2,2.4,0,0,0
792,Shelby County,2020,Westhaven Elementary,2020,67,53,1,0,0,896,7.5,5.9,0.1,0,0
792,Shelby County,2020,DuBois Elementary School of Entrepreneurship,2020,0,10,1,0,3,378,0,2.6,0.3,0,0.8
792,Shelby County,2020,City University School Girls Preparatory,2020,0,3,0,0,0,136,0,2.2,0,0,0
792,Shelby County,2020,Arrow Academy of Excellence,2020,0,0,0,0,0,96,0,0,0,0,0
792,Shelby County,2020,Freedom Preparatory Academy Elementary School,2020,0,0,0,0,0,473,0,0,0,0,0
792,Shelby County,2020,Power Center Academy Middle - Southeast,2020,0,44,0,0,0,315,0,14,0,0,0
792,Shelby County,2020,Memphis STEM Academy,2020,0,0,0,0,0,278,0,0,0,0,0
792,Shelby County,2020,Memphis Delta Preparatory,2020,14,0,0,0,0,418,3.3,0,0,0,0
792,Shelby County,2020,Aspire East Academy,2020,0,0,0,0,0,375,0,0,0,0,0
792,Shelby County,2020,Aster College Preparatory,2020,0,0,0,0,0,17,0,0,0,0,0
792,Shelby County,2020,Compass Community School Berclair Campus,2020,0,12,0,0,0,189,0,6.3,0,0,0
792,Shelby County,2020,Compass Community School Binghampton Campus,2020,0,4,0,0,0,195,0,2.1,0,0,0
792,Shelby County,2020,Compass Community School Frayser Campus,2020,0,13,0,0,0,177,0,7.3,0,0,0
792,Shelby County,2020,Circles Of Success Learning Academy,2020,0,0,0,0,0,246,0,0,0,0,0
792,Shelby County,2020,KIPP Memphis Collegiate High School,2020,0,83,7,6,2,500,0,16.6,1.4,1.2,0.4
792,Shelby County,2020,City University School Of Liberal Arts,2020,0,10,2,0,3,275,0,3.6,0.7,0,1.1
792,Shelby County,2020,Memphis Academy Of Science  Engineering Middle/High,2020,20,94,1,0,0,614,3.3,15.3,0.2,0,0
792,Shelby County,2020,Power Center Academy High School,2020,0,42,2,6,6,675,0,6.2,0.3,0.9,0.9
792,Shelby County,2020,Memphis Business Academy Elementary School,2020,0,1,0,0,0,342,0,0.3,0,0,0
792,Shelby County,2020,Memphis Academy Of Health Sciences,2020,0,2,0,0,0,313,0,0.6,0,0,0
792,Shelby County,2020,Memphis Academy of Health Sciences High School,2020,0,111,1,1,2,483,0,23,0.2,0.2,0.4
792,Shelby County,2020,Memphis Business Academy Middle,2020,0,11,0,2,2,518,0,2.1,0,0.4,0.4
792,Shelby County,2020,Memphis Business Academy High School,2020,0,25,0,3,0,513,0,4.9,0,0.6,0
792,Shelby County,2020,Power Center Academy Middle,2020,0,63,1,1,0,465,0,13.5,0.2,0.2,0
792,Shelby County,2020,Promise Academy,2020,0,10,0,0,0,379,0,2.6,0,0,0
792,Shelby County,2020,Southern Avenue Charter School Of Academic Excellence  Creat,2020,1,9,0,0,0,428,0.2,2.1,0,0,0
792,Shelby County,2020,Star Academy,2020,0,3,0,0,0,348,0,0.9,0,0,0
792,Shelby County,2020,Soulsville Charter School,2020,0,97,4,9,8,722,0,13.4,0.6,1.2,1.1
792,Shelby County,2020,Freedom Preparatory Academy,2020,1,85,5,6,3,794,0.1,10.7,0.6,0.8,0.4
792,Shelby County,2020,KIPP Memphis Collegiate Middle,2020,0,65,0,0,0,377,0,17.2,0,0,0
792,Shelby County,2020,Memphis College Preparatory,2020,21,14,0,1,0,340,6.2,4.1,0,0.3,0
792,Shelby County,2020,Memphis School of Excellence,2020,1,62,0,2,2,586,0.2,10.6,0,0.3,0.3
792,Shelby County,2020,Veritas College Preparatory,2020,0,8,1,0,1,195,0,4.1,0.5,0,0.5
792,Shelby County,2020,Aurora Collegiate Academy,2020,0,7,0,0,0,327,0,2.1,0,0,0
792,Shelby County,2020,KIPP Memphis Middle Academy,2020,0,41,0,1,1,353,0,11.6,0,0.3,0.3
792,Shelby County,2020,Memphis Grizzlies Preparatory Charter School,2020,33,65,0,2,0,404,8.2,16.1,0,0.5,0
792,Shelby County,2020,KIPP Memphis Collegiate Elementary,2020,0,27,0,0,0,449,0,6,0,0,0
792,Shelby County,2020,Memphis Rise Academy,2020,0,44,1,3,4,698,0,6.3,0.1,0.4,0.6
792,Shelby County,2020,City University School of Independence,2020,0,0,0,0,0,19,0,0,0,0,0
792,Shelby County,2020,Vision Preparatory Charter School,2020,17,21,0,0,1,419,4.1,5,0,0,0.2
792,Shelby County,2020,Power Center Academy Elementary School,2020,0,46,0,0,43,942,0,4.9,0,0,4.6
792,Shelby County,2020,The Excel Center,2020,0,22,8,0,0,873,0,2.5,0.9,0,0
792,Shelby County,2020,Granville T. Woods Academy of Innovation Charter School,2020,0,0,0,1,0,451,0,0,0,0.2,0
792,Shelby County,2020,Leadership Preparatory Charter School,2020,0,1,0,0,1,346,0,0.3,0,0,0.3
792,Shelby County,2020,Kaleidoscope School of Memphis,2020,1,27,0,0,0,104,1,26,0,0,0
792,Shelby County,2020,Memphis School of Excellence Elementary,2020,0,2,0,0,0,349,0,0.6,0,0,0
792,Shelby County,2020,Power Center Academy Elementary - Southeast,2020,0,0,0,0,0,214,0,0,0,0,0
792,Shelby County,2020,Southwest Early College High School,2020,1,45,0,0,0,244,0.4,18.4,0,0,0
