district_number,district_name,school_number,school_name,alternative_school,school_year,grade_level,students_iss,students_suspended,students_expelled,students_placed_in_alternative_school,students_committed_zero_tolerance,students_total,percent of in school suspensions,percent suspended,percent_expelled,percent_placed_in_alternative_school,percent_committed_zero_tolerance
50,Blount County,160,Prospect Elementary School,No,2020,05,3,0,0,0,0,82,3.7,0,0,0,0
50,Blount County,160,Prospect Elementary School,No,2020,K,0,0,0,0,0,76,0,0,0,0,0
50,Blount County,,,,2020,01,10,6,0,0,0,848,1.2,0.7,0,0,0
50,Blount County,,,,2020,02,17,15,0,0,1,856,2,1.8,0,0,0.1
50,Blount County,,,,2020,03,19,5,0,0,0,772,2.5,0.6,0,0,0
50,Blount County,,,,2020,04,15,10,0,0,0,831,1.8,1.2,0,0,0
50,Blount County,,,,2020,05,35,17,0,0,0,868,4,2,0,0,0
50,Blount County,,,,2020,06,99,20,0,1,1,900,11,2.2,0,0.1,0.1
50,Blount County,,,,2020,07,118,36,0,6,4,911,13,4,0,0.7,0.4
50,Blount County,,,,2020,08,102,35,0,4,1,865,11.8,4,0,0.5,0.1
50,Blount County,,,,2020,09,69,55,1,14,7,870,7.9,6.3,0.1,1.6,0.8
50,Blount County,,,,2020,10,71,37,2,24,20,864,8.2,4.3,0.2,2.8,2.3
50,Blount County,,,,2020,11,69,36,0,13,16,825,8.4,4.4,0,1.6,1.9
50,Blount County,,,,2020,12,36,23,1,11,10,795,4.5,2.9,0.1,1.4,1.3
50,Blount County,,,,2020,K,9,8,0,0,0,898,1,0.9,0,0,0
51,Alcoa,5,Alcoa Elementary,No,2020,01,0,2,0,0,0,174,0,1.1,0,0,0
51,Alcoa,5,Alcoa Elementary,No,2020,02,0,2,0,0,0,161,0,1.2,0,0,0
51,Alcoa,5,Alcoa Elementary,No,2020,K,0,1,0,0,0,176,0,0.6,0,0,0
51,Alcoa,6,Alcoa Middle School,No,2020,06,8,2,0,0,0,168,4.8,1.2,0,0,0
51,Alcoa,6,Alcoa Middle School,No,2020,07,18,4,0,0,0,174,10.3,2.3,0,0,0
51,Alcoa,6,Alcoa Middle School,No,2020,08,16,7,0,3,0,182,8.8,3.8,0,1.6,0
51,Alcoa,10,Alcoa High School,No,2020,09,2,21,4,0,9,190,1.1,11.1,2.1,0,4.7
51,Alcoa,10,Alcoa High School,No,2020,10,0,11,0,0,4,173,0,6.4,0,0,2.3
51,Alcoa,10,Alcoa High School,No,2020,11,3,16,0,0,2,187,1.6,8.6,0,0,1.1
51,Alcoa,10,Alcoa High School,No,2020,12,3,5,0,0,0,162,1.9,3.1,0,0,0
51,Alcoa,12,Alcoa Intermediate School,No,2020,03,2,1,0,0,0,160,1.2,0.6,0,0,0
51,Alcoa,12,Alcoa Intermediate School,No,2020,04,1,2,0,0,0,150,0.7,1.3,0,0,0
51,Alcoa,12,Alcoa Intermediate School,No,2020,05,2,2,0,0,0,170,1.2,1.2,0,0,0
51,Alcoa,,,,2020,01,0,2,0,0,0,174,0,1.1,0,0,0
51,Alcoa,,,,2020,02,0,2,0,0,0,161,0,1.2,0,0,0
51,Alcoa,,,,2020,03,2,1,0,0,0,160,1.2,0.6,0,0,0
51,Alcoa,,,,2020,04,1,2,0,0,0,150,0.7,1.3,0,0,0
51,Alcoa,,,,2020,05,2,2,0,0,0,170,1.2,1.2,0,0,0
51,Alcoa,,,,2020,06,8,2,0,0,0,168,4.8,1.2,0,0,0
51,Alcoa,,,,2020,07,18,4,0,0,0,174,10.3,2.3,0,0,0
51,Alcoa,,,,2020,08,16,7,0,3,0,182,8.8,3.8,0,1.6,0
51,Alcoa,,,,2020,09,2,21,4,0,9,190,1.1,11.1,2.1,0,4.7
51,Alcoa,,,,2020,10,0,11,0,0,4,173,0,6.4,0,0,2.3
51,Alcoa,,,,2020,11,3,16,0,0,2,187,1.6,8.6,0,0,1.1
51,Alcoa,,,,2020,12,3,5,0,0,0,162,1.9,3.1,0,0,0
51,Alcoa,,,,2020,K,0,1,0,0,0,176,0,0.6,0,0,0
52,Maryville,10,John Sevier Elementary,No,2020,01,0,0,0,0,0,155,0,0,0,0,0
52,Maryville,10,John Sevier Elementary,No,2020,02,1,1,0,0,0,164,0.6,0.6,0,0,0
52,Maryville,10,John Sevier Elementary,No,2020,03,0,0,0,0,0,135,0,0,0,0,0
52,Maryville,10,John Sevier Elementary,No,2020,K,0,0,0,0,0,148,0,0,0,0,0
52,Maryville,15,Maryville High School,No,2020,10,0,36,0,1,0,419,0,8.6,0,0.2,0
52,Maryville,15,Maryville High School,No,2020,11,0,30,0,9,4,391,0,7.7,0,2.3,1
52,Maryville,15,Maryville High School,No,2020,12,0,21,0,1,1,424,0,5,0,0.2,0.2
52,Maryville,18,Montgomery Ridge Intermediate School,No,2020,04,0,1,0,0,0,240,0,0.4,0,0,0
52,Maryville,18,Montgomery Ridge Intermediate School,No,2020,05,9,3,0,0,0,214,4.2,1.4,0,0,0
52,Maryville,18,Montgomery Ridge Intermediate School,No,2020,06,4,2,0,1,2,222,1.8,0.9,0,0.5,0.9
52,Maryville,18,Montgomery Ridge Intermediate School,No,2020,07,10,5,0,1,0,233,4.3,2.1,0,0.4,0
52,Maryville,20,Maryville Junior High School,No,2020,08,22,19,0,3,0,444,5,4.3,0,0.7,0
52,Maryville,20,Maryville Junior High School,No,2020,09,22,13,0,3,1,443,5,2.9,0,0.7,0.2
52,Maryville,25,Sam Houston Elementary,No,2020,01,0,0,0,0,0,124,0,0,0,0,0
52,Maryville,25,Sam Houston Elementary,No,2020,02,0,0,0,0,0,137,0,0,0,0,0
52,Maryville,25,Sam Houston Elementary,No,2020,03,0,0,0,0,0,144,0,0,0,0,0
52,Maryville,25,Sam Houston Elementary,No,2020,K,0,0,0,0,0,127,0,0,0,0,0
52,Maryville,30,Foothills Elementary,No,2020,01,0,1,0,0,0,155,0,0.6,0,0,0
52,Maryville,30,Foothills Elementary,No,2020,02,0,0,0,0,0,156,0,0,0,0,0
52,Maryville,30,Foothills Elementary,No,2020,03,0,1,0,0,0,157,0,0.6,0,0,0
52,Maryville,30,Foothills Elementary,No,2020,K,0,4,0,0,1,148,0,2.7,0,0,0.7
52,Maryville,35,Coulter Grove Intermediate School,No,2020,04,0,0,0,0,0,192,0,0,0,0,0
52,Maryville,35,Coulter Grove Intermediate School,No,2020,05,0,2,0,0,0,197,0,1,0,0,0
52,Maryville,35,Coulter Grove Intermediate School,No,2020,06,0,7,0,0,0,241,0,2.9,0,0,0
52,Maryville,35,Coulter Grove Intermediate School,No,2020,07,0,8,0,3,0,201,0,4,0,1.5,0
52,Maryville,,,,2020,01,0,1,0,0,0,431,0,0.2,0,0,0
52,Maryville,,,,2020,02,1,1,0,0,0,454,0.2,0.2,0,0,0
52,Maryville,,,,2020,03,0,1,0,0,0,432,0,0.2,0,0,0
52,Maryville,,,,2020,04,0,1,0,0,0,432,0,0.2,0,0,0
52,Maryville,,,,2020,05,9,5,0,0,0,409,2.2,1.2,0,0,0
52,Maryville,,,,2020,06,4,9,0,1,2,462,0.9,1.9,0,0.2,0.4
52,Maryville,,,,2020,07,10,13,0,4,0,430,2.3,3,0,0.9,0
52,Maryville,,,,2020,08,22,19,0,3,0,444,5,4.3,0,0.7,0
52,Maryville,,,,2020,09,22,13,0,3,1,443,5,2.9,0,0.7,0.2
52,Maryville,,,,2020,10,0,36,0,1,0,419,0,8.6,0,0.2,0
52,Maryville,,,,2020,11,0,30,0,9,4,391,0,7.7,0,2.3,1
