ACT Code,County,County (copy),District,HighSchool,Year ,CGR %
431337,CARROLL,CARROLL,WEST CARROLL SP DIST,WEST CARROLL JUNIOR/SENIOR HIGH SCHOOL,2017,0.689189189
431337,CARROLL,CARROLL,WEST CARROLL SP DIST,WEST CARROLL JUNIOR/SENIOR HIGH SCHOOL,2018,0.754385965
431337,CARROLL,CARROLL,WEST CARROLL SP DIST,WEST CARROLL JUNIOR/SENIOR HIGH SCHOOL,2019,0.553846154
431337,CARROLL,CARROLL,WEST CARROLL SP DIST,WEST CARROLL JUNIOR/SENIOR HIGH SCHOOL,2020,0.683544304
431337,CARROLL,CARROLL,WEST CARROLL SP DIST,WEST CARROLL JUNIOR/SENIOR HIGH SCHOOL,2021,0.382352941
A28088,CARTER,CARTER,CARTER COUNTY,CARTER COUNTY ONLINE ACADEMY,2017,0
A28088,CARTER,CARTER,CARTER COUNTY,CARTER COUNTY ONLINE ACADEMY,2018,0
A28088,CARTER,CARTER,CARTER COUNTY,CARTER COUNTY ONLINE ACADEMY,2019,0
A28088,CARTER,CARTER,CARTER COUNTY,CARTER COUNTY ONLINE ACADEMY,2020,0
A28088,CARTER,CARTER,CARTER COUNTY,CARTER COUNTY ONLINE ACADEMY,2021,
431990,CARTER,CARTER,CARTER COUNTY,CLOUDLAND HIGH SCHOOL,2017,0.691176471
431990,CARTER,CARTER,CARTER COUNTY,CLOUDLAND HIGH SCHOOL,2018,0.512195122
431990,CARTER,CARTER,CARTER COUNTY,CLOUDLAND HIGH SCHOOL,2019,0.658536585
431990,CARTER,CARTER,CARTER COUNTY,CLOUDLAND HIGH SCHOOL,2020,0.5
431990,CARTER,CARTER,CARTER COUNTY,CLOUDLAND HIGH SCHOOL,2021,0.592592593
430850,CARTER,CARTER,CARTER COUNTY,HAMPTON HIGH SCHOOL,2017,0.534482759
430850,CARTER,CARTER,CARTER COUNTY,HAMPTON HIGH SCHOOL,2018,0.563106796
430850,CARTER,CARTER,CARTER COUNTY,HAMPTON HIGH SCHOOL,2019,0.520833333
430850,CARTER,CARTER,CARTER COUNTY,HAMPTON HIGH SCHOOL,2020,0.516853933
430850,CARTER,CARTER,CARTER COUNTY,HAMPTON HIGH SCHOOL,2021,0.469879518
431002,CARTER,CARTER,CARTER COUNTY,HAPPY VALLEY HIGH SCHOOL,2017,0.554744526
431002,CARTER,CARTER,CARTER COUNTY,HAPPY VALLEY HIGH SCHOOL,2018,0.422535211
431002,CARTER,CARTER,CARTER COUNTY,HAPPY VALLEY HIGH SCHOOL,2019,0.613861386
431002,CARTER,CARTER,CARTER COUNTY,HAPPY VALLEY HIGH SCHOOL,2020,0.445454545
431002,CARTER,CARTER,CARTER COUNTY,HAPPY VALLEY HIGH SCHOOL,2021,0.534883721
430632,CARTER,CARTER,CARTER COUNTY,UNAKA HIGH SCHOOL,2017,0.561643836
430632,CARTER,CARTER,CARTER COUNTY,UNAKA HIGH SCHOOL,2018,0.546666667
430632,CARTER,CARTER,CARTER COUNTY,UNAKA HIGH SCHOOL,2019,0.421686747
430632,CARTER,CARTER,CARTER COUNTY,UNAKA HIGH SCHOOL,2020,0.443181818
430632,CARTER,CARTER,CARTER COUNTY,UNAKA HIGH SCHOOL,2021,0.375
430630,CARTER,CARTER,ELIZABETHTON,ELIZABETHTON HIGH SCHOOL,2017,0.72361809
430630,CARTER,CARTER,ELIZABETHTON,ELIZABETHTON HIGH SCHOOL,2018,0.733695652
430630,CARTER,CARTER,ELIZABETHTON,ELIZABETHTON HIGH SCHOOL,2019,0.738636364
430630,CARTER,CARTER,ELIZABETHTON,ELIZABETHTON HIGH SCHOOL,2020,0.774725275
430630,CARTER,CARTER,ELIZABETHTON,ELIZABETHTON HIGH SCHOOL,2021,0.598984772
430045,CHEATHAM,CHEATHAM,CHEATHAM COUNTY,CHEATHAM COUNTY CENTRAL HIGH SCHOOL,2017,0.559006211
430045,CHEATHAM,CHEATHAM,CHEATHAM COUNTY,CHEATHAM COUNTY CENTRAL HIGH SCHOOL,2018,0.472972973
430045,CHEATHAM,CHEATHAM,CHEATHAM COUNTY,CHEATHAM COUNTY CENTRAL HIGH SCHOOL,2019,0.507462687
430045,CHEATHAM,CHEATHAM,CHEATHAM COUNTY,CHEATHAM COUNTY CENTRAL HIGH SCHOOL,2020,0.477419355
430045,CHEATHAM,CHEATHAM,CHEATHAM COUNTY,CHEATHAM COUNTY CENTRAL HIGH SCHOOL,2021,0.392857143
431077,CHEATHAM,CHEATHAM,CHEATHAM COUNTY,HARPETH HIGH SCHOOL,2017,0.7
431077,CHEATHAM,CHEATHAM,CHEATHAM COUNTY,HARPETH HIGH SCHOOL,2018,0.608391608
431077,CHEATHAM,CHEATHAM,CHEATHAM COUNTY,HARPETH HIGH SCHOOL,2019,0.626984127
431077,CHEATHAM,CHEATHAM,CHEATHAM COUNTY,HARPETH HIGH SCHOOL,2020,0.675213675
431077,CHEATHAM,CHEATHAM,CHEATHAM COUNTY,HARPETH HIGH SCHOOL,2021,0.634615385
431893,CHEATHAM,CHEATHAM,CHEATHAM COUNTY,SYCAMORE HIGH SCHOOL,2017,0.666666667
431893,CHEATHAM,CHEATHAM,CHEATHAM COUNTY,SYCAMORE HIGH SCHOOL,2018,0.573099415
431893,CHEATHAM,CHEATHAM,CHEATHAM COUNTY,SYCAMORE HIGH SCHOOL,2019,0.616438356
431893,CHEATHAM,CHEATHAM,CHEATHAM COUNTY,SYCAMORE HIGH SCHOOL,2020,0.56043956
431893,CHEATHAM,CHEATHAM,CHEATHAM COUNTY,SYCAMORE HIGH SCHOOL,2021,0.410447761
430880,CHESTER,CHESTER,CHESTER COUNTY,CHESTER COUNTY HIGH SCHOOL,2017,0.642857143
430880,CHESTER,CHESTER,CHESTER COUNTY,CHESTER COUNTY HIGH SCHOOL,2018,0.536082474
430880,CHESTER,CHESTER,CHESTER COUNTY,CHESTER COUNTY HIGH SCHOOL,2019,0.607655502
430880,CHESTER,CHESTER,CHESTER COUNTY,CHESTER COUNTY HIGH SCHOOL,2020,0.585106383
430880,CHESTER,CHESTER,CHESTER COUNTY,CHESTER COUNTY HIGH SCHOOL,2021,0.516666667
432245,CLAIBORNE,CLAIBORNE,CLAIBORNE COUNTY,CLAIBORNE HIGH SCHOOL,2017,0.603896104
432245,CLAIBORNE,CLAIBORNE,CLAIBORNE COUNTY,CLAIBORNE HIGH SCHOOL,2018,0.470198675
432245,CLAIBORNE,CLAIBORNE,CLAIBORNE COUNTY,CLAIBORNE HIGH SCHOOL,2019,0.586206897
432245,CLAIBORNE,CLAIBORNE,CLAIBORNE COUNTY,CLAIBORNE HIGH SCHOOL,2020,0.375
432245,CLAIBORNE,CLAIBORNE,CLAIBORNE COUNTY,CLAIBORNE HIGH SCHOOL,2021,0.517241379
430494,CLAIBORNE,CLAIBORNE,CLAIBORNE COUNTY,CUMBERLAND GAP HIGH SCHOOL,2017,0.589147287
430494,CLAIBORNE,CLAIBORNE,CLAIBORNE COUNTY,CUMBERLAND GAP HIGH SCHOOL,2018,0.699115044
430494,CLAIBORNE,CLAIBORNE,CLAIBORNE COUNTY,CUMBERLAND GAP HIGH SCHOOL,2019,0.644067797
