district_number,district_name,school_number,school_name,school_year,gender,students_in_school_suspension,students_suspended,students_expelled,students_placed_in_alternative_school,students_committed_zero_tolerance,students_total,percent_in_school_suspension,percent_suspended,percent_expelled,percent_placed_in_alternative_school,percent_committed_zero_tolerance
150,Cocke County,52,Northwest Elementary,2020,Male,17,10,0,0,0,286,5.9,3.5,0,0,0
150,Cocke County,55,Parrottsville Elementary,2020,Female,1,2,0,0,0,265,0.4,0.8,0,0,0
150,Cocke County,55,Parrottsville Elementary,2020,Male,5,17,0,0,0,285,1.8,6,0,0,0
150,Cocke County,65,Smoky Mountain Elementary,2020,Female,0,0,0,0,0,81,0,0,0,0,0
150,Cocke County,65,Smoky Mountain Elementary,2020,Male,0,2,0,0,0,88,0,2.3,0,0,0
150,Cocke County,,,2020,Female,74,14,0,1,0,2324,3.2,0.6,0,0,0
150,Cocke County,,,2020,Male,247,68,1,2,3,2448,10.1,2.8,0,0.1,0.1
151,Newport,5,Newport Grammar School,2020,Female,2,0,0,0,0,333,0.6,0,0,0,0
151,Newport,5,Newport Grammar School,2020,Male,4,3,0,0,0,334,1.2,0.9,0,0,0
151,Newport,,,2020,Female,2,0,0,0,0,333,0.6,0,0,0,0
151,Newport,,,2020,Male,4,3,0,0,0,334,1.2,0.9,0,0,0
160,Coffee County,5,Coffee County Central High School,2020,Female,0,1,0,0,1,664,0,0.2,0,0,0.2
160,Coffee County,5,Coffee County Central High School,2020,Male,0,1,0,0,1,626,0,0.2,0,0,0.2
160,Coffee County,10,Coffee County Middle School,2020,Female,0,2,0,0,0,542,0,0.4,0,0,0
160,Coffee County,10,Coffee County Middle School,2020,Male,0,2,0,0,0,533,0,0.4,0,0,0
160,Coffee County,15,East Coffee Elementary,2020,Female,0,0,0,0,0,119,0,0,0,0,0
160,Coffee County,15,East Coffee Elementary,2020,Male,0,0,0,0,0,126,0,0,0,0,0
160,Coffee County,20,Hickerson Elementary,2020,Female,0,0,0,0,0,118,0,0,0,0,0
160,Coffee County,20,Hickerson Elementary,2020,Male,0,0,0,0,0,110,0,0,0,0,0
160,Coffee County,25,Hillsboro Elementary,2020,Female,0,0,0,0,0,171,0,0,0,0,0
160,Coffee County,25,Hillsboro Elementary,2020,Male,0,0,0,0,0,207,0,0,0,0,0
160,Coffee County,35,New Union Elementary,2020,Female,0,0,0,0,0,175,0,0,0,0,0
160,Coffee County,35,New Union Elementary,2020,Male,0,0,0,0,0,158,0,0,0,0,0
160,Coffee County,40,North Coffee Elementary,2020,Female,0,0,0,0,0,154,0,0,0,0,0
160,Coffee County,40,North Coffee Elementary,2020,Male,0,0,0,0,0,159,0,0,0,0,0
160,Coffee County,50,Deerfield Elementary School,2020,Female,0,0,0,0,0,125,0,0,0,0,0
160,Coffee County,50,Deerfield Elementary School,2020,Male,0,0,0,0,0,154,0,0,0,0,0
160,Coffee County,55,Coffee County Raider Academy,2020,Female,0,0,0,0,0,241,0,0,0,0,0
160,Coffee County,55,Coffee County Raider Academy,2020,Male,0,1,0,0,0,223,0,0.4,0,0,0
160,Coffee County,,,2020,Female,0,3,0,0,1,2298,0,0.1,0,0,0
160,Coffee County,,,2020,Male,0,4,0,0,1,2284,0,0.2,0,0,0
161,Manchester,5,College Street Elementary,2020,Female,1,0,0,0,0,219,0.5,0,0,0,0
161,Manchester,5,College Street Elementary,2020,Male,1,0,0,0,0,256,0.4,0,0,0,0
161,Manchester,10,Westwood Elementary,2020,Female,0,0,0,0,0,269,0,0,0,0,0
161,Manchester,10,Westwood Elementary,2020,Male,0,0,0,0,0,301,0,0,0,0,0
161,Manchester,15,Westwood Middle School,2020,Female,2,0,0,0,0,241,0.8,0,0,0,0
161,Manchester,15,Westwood Middle School,2020,Male,1,0,0,0,0,229,0.4,0,0,0,0
